Date;Open;High;Low;Last;Close;Total Trade Quantity;Turnover (Lacs)
08/10/2018;208.0;222.25;206.85;216.0;215.15;4642146.0;10062.83
05/10/2018;217.0;218.6;205.9;210.25;209.2;3519515.0;7407.06
04/10/2018;223.5;227.8;216.15;217.25;218.2;1728786.0;3815.79
03/10/2018;230.0;237.5;225.75;226.45;227.6;1708590.0;3960.27
01/10/2018;234.55;234.6;221.05;230.3;230.9;1534749.0;3486.05
28/09/2018;234.05;235.95;230.2;233.5;233.75;3069914.0;7162.35
27/09/2018;234.55;236.8;231.1;233.8;233.25;5082859.0;11859.95
26/09/2018;240.0;240.0;232.5;235.0;234.25;2240909.0;5248.6
25/09/2018;233.3;236.75;232.0;236.25;236.1;2349368.0;5503.9
24/09/2018;233.55;239.2;230.75;234.0;233.3;3423509.0;7999.55
21/09/2018;235.0;237.0;227.95;233.75;234.6;5395319.0;12589.59
19/09/2018;235.95;237.2;233.45;234.6;234.9;1362058.0;3202.78
18/09/2018;237.9;239.25;233.5;235.5;235.05;2614794.0;6163.7
17/09/2018;233.15;238.0;230.25;236.4;236.6;3170894.0;7445.41
14/09/2018;223.45;236.7;223.3;234.0;233.95;6377909.0;14784.5
12/09/2018;216.35;223.7;212.65;221.65;222.65;4570939.0;10002.01
11/09/2018;222.5;225.4;214.85;216.35;216.0;3508990.0;7735.81
10/09/2018;222.5;235.15;220.65;221.05;222.0;7514106.0;17130.29
07/09/2018;221.0;224.5;219.1;223.15;222.95;1232507.0;2742.84
06/09/2018;224.0;225.0;218.2;220.95;221.05;1738824.0;3856.72
05/09/2018;222.0;224.6;215.2;222.1;222.4;3023097.0;6674.93
04/09/2018;238.2;238.2;222.6;223.45;223.7;3554859.0;8163.82
03/09/2018;236.0;243.55;235.05;236.85;236.7;5242852.0;12538.39
31/08/2018;237.0;239.75;232.95;234.65;234.3;3353833.0;7913.21
30/08/2018;235.35;237.3;232.1;237.3;236.0;1921327.0;4516.57
29/08/2018;233.85;237.7;232.7;234.2;234.55;1394661.0;3280.33
28/08/2018;237.0;239.3;231.3;232.9;233.35;2374782.0;5571.77
27/08/2018;231.8;239.35;231.05;236.8;237.05;1990020.0;4689.94
24/08/2018;234.5;237.2;230.2;231.5;231.0;1838417.0;4289.35
23/08/2018;240.3;240.6;233.1;235.5;235.45;1553953.0;3662.36
21/08/2018;246.9;246.9;239.25;240.9;240.55;3272005.0;7941.4
20/08/2018;244.0;247.0;243.0;244.7;245.15;1690225.0;4141.83
17/08/2018;240.8;244.5;239.2;242.7;243.0;2838238.0;6885.52
16/08/2018;236.05;242.0;235.95;240.35;239.35;2551480.0;6106.81
14/08/2018;235.0;238.5;235.0;237.4;237.55;1885288.0;4459.96
13/08/2018;233.0;236.45;232.25;235.2;234.55;1948583.0;4573.57
10/08/2018;237.3;237.95;231.1;233.65;233.55;2035594.0;4757.48
09/08/2018;236.65;239.85;235.3;237.25;237.3;1127248.0;2676.63
08/08/2018;237.25;240.5;235.05;236.35;236.35;1807313.0;4305.39
07/08/2018;241.0;241.55;235.3;237.5;237.6;1963538.0;4677.58
06/08/2018;235.15;240.45;234.15;240.0;239.5;2560616.0;6080.87
03/08/2018;236.0;239.0;232.0;235.2;234.65;3357945.0;7893.32
02/08/2018;232.5;238.05;230.4;235.0;235.45;5700851.0;13328.52
